scheduler,access_pattern,array_size,task_count,worker_count,median_time_ms,speedup,parallel_efficiency_percent,throughput_elements_per_sec
AI,random,1000000,100,4,21.2579,2.63452,65.8631,47041400.0
Dynamic,random,1000000,100,4,23.1038,2.42404,60.6009,43283000.0
FCFS,random,1000000,100,4,28.3362,1.97643,49.4106,35290500.0
RoundRobin,random,1000000,100,4,22.8944,2.4462,61.1551,43678800.0
SJF,random,1000000,100,4,25.7236,2.17717,54.4291,38874900.0
AI,sequential,1000000,100,4,21.2598,0.849944,21.2486,47037200.0
Dynamic,sequential,1000000,100,4,18.6359,0.969614,24.2403,53659900.0
FCFS,sequential,1000000,100,4,8.16526,2.21299,55.3247,122470000.0
RoundRobin,sequential,1000000,100,4,16.0009,1.12929,28.2322,62496500.0
SJF,sequential,1000000,100,4,10.4401,1.73078,43.2696,95784100.0
AI,strided,1000000,100,4,21.2635,1.04585,26.1463,47028900.0
Dynamic,strided,1000000,100,4,21.2067,1.04866,26.2164,47155000.0
FCFS,strided,1000000,100,4,6.91059,3.21803,80.4507,144705000.0
RoundRobin,strided,1000000,100,4,19.7742,1.12462,28.1155,50570900.0
SJF,strided,1000000,100,4,19.3804,1.14747,28.6869,51598600.0
