array_size,task_count,task_id,element_count,working_set_bytes,access_pattern,access_pattern_encoded,stride,repeat_count,operation_count,locality_score,burst_time_ms
100000,10,0,10000,80000,sequential,0,1,1,1,1,0.04776
100000,10,1,10000,80000,sequential,0,1,1,1,1,0.058672
100000,10,2,10000,80000,sequential,0,1,1,1,1,0.047453
100000,10,3,10000,80000,sequential,0,1,1,1,1,0.047477
100000,10,4,10000,80000,sequential,0,1,1,1,1,0.043901
100000,10,5,10000,80000,sequential,0,1,1,1,1,0.046221
100000,10,6,10000,80000,sequential,0,1,1,1,1,0.047036
100000,10,7,10000,80000,sequential,0,1,1,1,1,0.046887
100000,10,8,10000,80000,sequential,0,1,1,1,1,0.046894
100000,10,9,10000,80000,sequential,0,1,1,1,1,0.046734
100000,10,0,10000,80000,sequential,0,1,5,5,1,0.1759
100000,10,1,10000,80000,sequential,0,1,5,5,1,0.186388
100000,10,2,10000,80000,sequential,0,1,5,5,1,0.175249
100000,10,3,10000,80000,sequential,0,1,5,5,1,0.174763
100000,10,4,10000,80000,sequential,0,1,5,5,1,0.264104
100000,10,5,10000,80000,sequential,0,1,5,5,1,0.174631
100000,10,6,10000,80000,sequential,0,1,5,5,1,0.174188
100000,10,7,10000,80000,sequential,0,1,5,5,1,0.179013
100000,10,8,10000,80000,sequential,0,1,5,5,1,0.174873
100000,10,9,10000,80000,sequential,0,1,5,5,1,0.174889
100000,10,0,10000,80000,strided,1,8,1,1,0.5,0.073589
100000,10,1,10000,80000,strided,1,8,1,1,0.5,0.071086
100000,10,2,10000,80000,strided,1,8,1,1,0.5,0.070808
100000,10,3,10000,80000,strided,1,8,1,1,0.5,0.070861
100000,10,4,10000,80000,strided,1,8,1,1,0.5,0.071329
100000,10,5,10000,80000,strided,1,8,1,1,0.5,0.070807
100000,10,6,10000,80000,strided,1,8,1,1,0.5,0.070256
100000,10,7,10000,80000,strided,1,8,1,1,0.5,0.072842
100000,10,8,10000,80000,strided,1,8,1,1,0.5,0.072575
100000,10,9,10000,80000,strided,1,8,1,1,0.5,0.073355
100000,10,0,10000,80000,strided,1,8,5,5,0.5,0.199109
100000,10,1,10000,80000,strided,1,8,5,5,0.5,0.199476
100000,10,2,10000,80000,strided,1,8,5,5,0.5,0.20457
100000,10,3,10000,80000,strided,1,8,5,5,0.5,0.196292
100000,10,4,10000,80000,strided,1,8,5,5,0.5,0.197324
100000,10,5,10000,80000,strided,1,8,5,5,0.5,0.194553
100000,10,6,10000,80000,strided,1,8,5,5,0.5,0.195248
100000,10,7,10000,80000,strided,1,8,5,5,0.5,0.287743
100000,10,8,10000,80000,strided,1,8,5,5,0.5,0.202765
100000,10,9,10000,80000,strided,1,8,5,5,0.5,0.204753
100000,10,0,10000,80000,random,2,1,1,1,0.1,0.42889
100000,10,1,10000,80000,random,2,1,1,1,0.1,0.424321
100000,10,2,10000,80000,random,2,1,1,1,0.1,0.412276
100000,10,3,10000,80000,random,2,1,1,1,0.1,0.417168
100000,10,4,10000,80000,random,2,1,1,1,0.1,0.427034
100000,10,5,10000,80000,random,2,1,1,1,0.1,0.420117
100000,10,6,10000,80000,random,2,1,1,1,0.1,0.414148
100000,10,7,10000,80000,random,2,1,1,1,0.1,0.418341
100000,10,8,10000,80000,random,2,1,1,1,0.1,0.424673
100000,10,9,10000,80000,random,2,1,1,1,0.1,0.428856
100000,10,0,10000,80000,random,2,1,5,5,0.1,0.564981
100000,10,1,10000,80000,random,2,1,5,5,0.1,0.581899
100000,10,2,10000,80000,random,2,1,5,5,0.1,0.558164
100000,10,3,10000,80000,random,2,1,5,5,0.1,0.556008
100000,10,4,10000,80000,random,2,1,5,5,0.1,0.57053
100000,10,5,10000,80000,random,2,1,5,5,0.1,0.556438
100000,10,6,10000,80000,random,2,1,5,5,0.1,0.547398
100000,10,7,10000,80000,random,2,1,5,5,0.1,0.559256
100000,10,8,10000,80000,random,2,1,5,5,0.1,0.542641
100000,10,9,10000,80000,random,2,1,5,5,0.1,0.554197
100000,100,0,1000,8000,sequential,0,1,1,1,1,0.004761
100000,100,1,1000,8000,sequential,0,1,1,1,1,0.005212
100000,100,2,1000,8000,sequential,0,1,1,1,1,0.005167
100000,100,3,1000,8000,sequential,0,1,1,1,1,0.004971
100000,100,4,1000,8000,sequential,0,1,1,1,1,0.004754
100000,100,5,1000,8000,sequential,0,1,1,1,1,0.004761
100000,100,6,1000,8000,sequential,0,1,1,1,1,0.004805
100000,100,7,1000,8000,sequential,0,1,1,1,1,0.004968
100000,100,8,1000,8000,sequential,0,1,1,1,1,0.004708
100000,100,9,1000,8000,sequential,0,1,1,1,1,0.004512
100000,100,10,1000,8000,sequential,0,1,1,1,1,0.004702
100000,100,11,1000,8000,sequential,0,1,1,1,1,0.004926
100000,100,12,1000,8000,sequential,0,1,1,1,1,0.004919
100000,100,13,1000,8000,sequential,0,1,1,1,1,0.004903
100000,100,14,1000,8000,sequential,0,1,1,1,1,0.004742
100000,100,15,1000,8000,sequential,0,1,1,1,1,0.005021
100000,100,16,1000,8000,sequential,0,1,1,1,1,0.00458
100000,100,17,1000,8000,sequential,0,1,1,1,1,0.004595
100000,100,18,1000,8000,sequential,0,1,1,1,1,0.004644
100000,100,19,1000,8000,sequential,0,1,1,1,1,0.004787
100000,100,20,1000,8000,sequential,0,1,1,1,1,0.008896
100000,100,21,1000,8000,sequential,0,1,1,1,1,0.006299
100000,100,22,1000,8000,sequential,0,1,1,1,1,0.005739
100000,100,23,1000,8000,sequential,0,1,1,1,1,0.009055
100000,100,24,1000,8000,sequential,0,1,1,1,1,0.004876
100000,100,25,1000,8000,sequential,0,1,1,1,1,0.009183
100000,100,26,1000,8000,sequential,0,1,1,1,1,0.004525
100000,100,27,1000,8000,sequential,0,1,1,1,1,0.004561
100000,100,28,1000,8000,sequential,0,1,1,1,1,0.004737
100000,100,29,1000,8000,sequential,0,1,1,1,1,0.00457
100000,100,30,1000,8000,sequential,0,1,1,1,1,0.004598
100000,100,31,1000,8000,sequential,0,1,1,1,1,0.004563
100000,100,32,1000,8000,sequential,0,1,1,1,1,0.00479
100000,100,33,1000,8000,sequential,0,1,1,1,1,0.004837
100000,100,34,1000,8000,sequential,0,1,1,1,1,0.004972
100000,100,35,1000,8000,sequential,0,1,1,1,1,0.004917
100000,100,36,1000,8000,sequential,0,1,1,1,1,0.00497
100000,100,37,1000,8000,sequential,0,1,1,1,1,0.004978
100000,100,38,1000,8000,sequential,0,1,1,1,1,0.004559
100000,100,39,1000,8000,sequential,0,1,1,1,1,0.004688
100000,100,40,1000,8000,sequential,0,1,1,1,1,0.004852
100000,100,41,1000,8000,sequential,0,1,1,1,1,0.004935
100000,100,42,1000,8000,sequential,0,1,1,1,1,0.004943
100000,100,43,1000,8000,sequential,0,1,1,1,1,0.004841
100000,100,44,1000,8000,sequential,0,1,1,1,1,0.00493
100000,100,45,1000,8000,sequential,0,1,1,1,1,0.004795
100000,100,46,1000,8000,sequential,0,1,1,1,1,0.004883
100000,100,47,1000,8000,sequential,0,1,1,1,1,0.004848
100000,100,48,1000,8000,sequential,0,1,1,1,1,0.004878
100000,100,49,1000,8000,sequential,0,1,1,1,1,0.005028
100000,100,50,1000,8000,sequential,0,1,1,1,1,0.004773
100000,100,51,1000,8000,sequential,0,1,1,1,1,0.00474
100000,100,52,1000,8000,sequential,0,1,1,1,1,0.00478
100000,100,53,1000,8000,sequential,0,1,1,1,1,0.004773
100000,100,54,1000,8000,sequential,0,1,1,1,1,0.004795
100000,100,55,1000,8000,sequential,0,1,1,1,1,0.004516
100000,100,56,1000,8000,sequential,0,1,1,1,1,0.004516
100000,100,57,1000,8000,sequential,0,1,1,1,1,0.004527
100000,100,58,1000,8000,sequential,0,1,1,1,1,0.00453
100000,100,59,1000,8000,sequential,0,1,1,1,1,0.004521
100000,100,60,1000,8000,sequential,0,1,1,1,1,0.004828
100000,100,61,1000,8000,sequential,0,1,1,1,1,0.004932
100000,100,62,1000,8000,sequential,0,1,1,1,1,0.004697
100000,100,63,1000,8000,sequential,0,1,1,1,1,0.004684
100000,100,64,1000,8000,sequential,0,1,1,1,1,0.004683
100000,100,65,1000,8000,sequential,0,1,1,1,1,0.004816
100000,100,66,1000,8000,sequential,0,1,1,1,1,0.004653
